country,2019-01-01,2019-02-01,2019-03-01,2019-04-01,2019-05-01,2019-06-01,2019-07-01,2019-08-01,2019-09-01,2019-10-01,2019-11-01,total,2019-12-01,month_end_title,client_unit,legal_entity,month_end_helper,adjustments,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01,2020-07-01,2020-08-01,2020-09-01,2020-10-01,2020-11-01,2020-12-01,2018-12-01
UK,19.8,18.2,19.5,17.2,19,19,20,16.8,18.2,21.5,20.4,14,223.6,2019-01-01,HSBC,GFT FINANCIAL LTD.,2019-01-01,0.0,,,,,,,,,,,,,
ESP,18.5479,18.5345,17.896,16.787,20.2102,17.3114,18.9903,13.2236,17.5325,20.9254,18.4976,15.5436,214,2019-01-01,HSBC,GFT FINANCIAL LTD.,2019-01-01,0.0,,,,,,,,,,,,,
POL,18.2,17.6,19.3,18.2,18,17.1,19.1,17.7,17.9,20.4,16.8,16.9,217.2,2019-01-01,HSBC,GFT FINANCIAL LTD.,2019-01-01,0.0,,,,,,,,,,,,,
BRA,17.5551,18.095,18.4805,18.5232,20,16.055,18.774,19.9972,18.5999,20.9861,17.6524,18.8816,223.6,2019-01-01,HSBC,GFT FINANCIAL LTD.,2019-01-01,0.0,,,,,,,,,,,,,
CRC,19.840717,19.311416,19.601766,17.526111,21.518583,19.337744,20.814875,18.763035,19.819636,20.638264,19.74272,16.085132,233,2019-01-01,HSBC,GFT FINANCIAL LTD.,2019-01-01,0.0,,,,,,,,,,,,,
USA,19.5,18,20,18.5,20.75,19,20,19.5,18,20.75,19,17,230,2019-01-01,HSBC,GFT FINANCIAL LTD.,2019-01-01,0.0,,,,,,,,,,,,,
CAN,21,18,20,19,19,19,21,19,17,21,19,17,230,2019-01-01,HSBC,GFT FINANCIAL LTD.,2019-01-01,0.0,,,,,,,,,,,,,
GER,18.1,18.1,18.6,16.1,19.4,15.13,18.73,19.4,19,19,19.4,16,216.96,2019-01-01,HSBC,GFT FINANCIAL LTD.,2019-01-01,0.0,,,,,,,,,,,,,
MEX,20.7148,17.9805,18.6908,17.848,20.7084,18.8047,21.2049,19.8072,18.6128,21.6048,18.2278,15.7953,230,2019-01-01,HSBC,GFT FINANCIAL LTD.,2019-01-01,0.0,,,,,,,,,,,,,
UK,19.8,18.2,19.5,17.2,19,19,20,16.8,18.2,21.5,20.4,14,223.6,2019-02-01,HSBC,GFT FINANCIAL LTD.,2019-02-01,0.0,,,,,,,,,,,,,
ESP,18.5479,18.5345,17.896,16.787,20.2102,17.3114,18.9903,13.2236,17.5325,20.9254,18.4976,15.5436,214,2019-02-01,HSBC,GFT FINANCIAL LTD.,2019-02-01,0.0,,,,,,,,,,,,,
POL,18.2,17.6,19.3,18.2,18,17.1,19.1,17.7,17.9,20.4,16.8,16.9,217.2,2019-02-01,HSBC,GFT FINANCIAL LTD.,2019-02-01,0.0,,,,,,,,,,,,,
BRA,17.5551,18.095,18.4805,18.5232,20,16.055,18.774,19.9972,18.5999,20.9861,17.6524,18.8816,223.6,2019-02-01,HSBC,GFT FINANCIAL LTD.,2019-02-01,0.0,,,,,,,,,,,,,
CRC,19.840717,19.311416,19.601766,17.526111,21.518583,19.337744,20.814875,18.763035,19.819636,20.638264,19.74272,16.085132,233,2019-02-01,HSBC,GFT FINANCIAL LTD.,2019-02-01,0.0,,,,,,,,,,,,,
USA,19.5,18,20,18.5,20.75,19,20,19.5,18,20.75,19,17,230,2019-02-01,HSBC,GFT FINANCIAL LTD.,2019-02-01,0.0,,,,,,,,,,,,,
CAN,21,18,20,19,19,19,21,19,17,21,19,17,230,2019-02-01,HSBC,GFT FINANCIAL LTD.,2019-02-01,0.0,,,,,,,,,,,,,
