date,Actuals & Commitment,P1,P2,P3,Bluesky,MCOM,On-Call,Expenses,AnB,Tech Funds,month_end_title,client_unit,legal_entity,month_end_helper,adjustments
2019-01-01,1405832,1405832,0,0,0,0,0,0,0,0,2019-01-01,HSBC,GFT FINANCIAL LTD.,2019-01-01,0
2019-01-01,1405303.59,1405303.59,0,0,0,0,0,0,0,0,2019-02-01,HSBC,GFT FINANCIAL LTD.,2019-02-01,0
2019-02-01,1310236.88,1310236.88,0,0,0,0,0,0,0,0,2019-02-01,HSBC,GFT FINANCIAL LTD.,2019-02-01,0
2019-01-01,1405303.59,1405303.59,0,0,0,0,0,0,0,0,2019-03-01,HSBC,GFT FINANCIAL LTD.,2019-03-01,0
2019-02-01,1310236.88,1310236.88,0,0,0,0,0,0,0,0,2019-03-01,HSBC,GFT FINANCIAL LTD.,2019-03-01,0
2019-03-01,1401066.65,1401066.65,0,0,0,0,0,0,0,0,2019-03-01,HSBC,GFT FINANCIAL LTD.,2019-03-01,0
2019-01-01,1405303.59,1405303.59,,,0,0,0,0,0,0,2019-04-01,HSBC,GFT FINANCIAL LTD.,2019-04-01,0
2019-02-01,1310236.88,1310236.88,,,0,0,0,0,0,0,2019-04-01,HSBC,GFT FINANCIAL LTD.,2019-04-01,0
2019-03-01,1401066.65,1401066.65,,,0,0,0,0,0,0,2019-04-01,HSBC,GFT FINANCIAL LTD.,2019-04-01,0
2019-04-01,1293343.14,1293343.14,,,0,0,0,0,0,0,2019-04-01,HSBC,GFT FINANCIAL LTD.,2019-04-01,0
2019-01-01,1405303.59,1405303.59,,,0,0,0,0,0,0,2019-05-01,HSBC,GFT FINANCIAL LTD.,2019-05-01,0
2019-02-01,1310236.88,1310236.88,,,0,0,0,0,0,0,2019-05-01,HSBC,GFT FINANCIAL LTD.,2019-05-01,0
2019-03-01,1401066.65,1401066.65,,,0,0,0,0,0,0,2019-05-01,HSBC,GFT FINANCIAL LTD.,2019-05-01,0
2019-04-01,1293343.14,1293343.14,,,0,0,0,0,0,0,2019-05-01,HSBC,GFT FINANCIAL LTD.,2019-05-01,0
2019-05-01,1270424.68,1270424.68,0,0,0,0,0,0,0,0,2019-05-01,HSBC,GFT FINANCIAL LTD.,2019-05-01,0
2019-01-01,1405303.59,1405303.59,,,0,0,0,0,0,0,2019-06-01,HSBC,GFT FINANCIAL LTD.,2019-06-01,0
2019-02-01,1310236.88,1310236.88,,,0,0,0,0,0,0,2019-06-01,HSBC,GFT FINANCIAL LTD.,2019-06-01,0
2019-03-01,1401066.65,1401066.65,,,0,0,0,0,0,0,2019-06-01,HSBC,GFT FINANCIAL LTD.,2019-06-01,0
2019-04-01,1293343.14,1293343.14,,,0,0,0,0,0,0,2019-06-01,HSBC,GFT FINANCIAL LTD.,2019-06-01,0
2019-05-01,1277774.34,1277774.34,0,0,0,0,0,0,0,0,2019-06-01,HSBC,GFT FINANCIAL LTD.,2019-06-01,0
2019-06-01,1312702.22,1312702.22,,,0,0,0,0,0,0,2019-06-01,HSBC,GFT FINANCIAL LTD.,2019-06-01,0
2019-01-01,1405303.59,1405303.59,,,0,0,0,0,0,0,2019-07-01,HSBC,GFT FINANCIAL LTD.,2019-07-01,0
2019-02-01,1310236.88,1310236.88,,,0,0,0,0,0,0,2019-07-01,HSBC,GFT FINANCIAL LTD.,2019-07-01,0
2019-03-01,1401066.65,1401066.65,,,0,0,0,0,0,0,2019-07-01,HSBC,GFT FINANCIAL LTD.,2019-07-01,0
2019-04-01,1293343.14,1293343.14,,,0,0,0,0,0,0,2019-07-01,HSBC,GFT FINANCIAL LTD.,2019-07-01,0
2019-05-01,1277774.34,1277774.34,0,0,0,0,0,0,0,0,2019-07-01,HSBC,GFT FINANCIAL LTD.,2019-07-01,0
2019-06-01,1305356.12,1305356.12,,,0,0,0,0,0,0,2019-07-01,HSBC,GFT FINANCIAL LTD.,2019-07-01,0
2019-07-01,1440058.01,1440058.01,,,0,0,0,0,0,0,2019-07-01,HSBC,GFT FINANCIAL LTD.,2019-07-01,0
2019-01-01,1405303.59,1405303.59,,,0,0,0,0,0,0,2019-08-01,HSBC,GFT FINANCIAL LTD.,2019-08-01,0
2019-02-01,1310236.88,1310236.88,,,0,0,0,0,0,0,2019-08-01,HSBC,GFT FINANCIAL LTD.,2019-08-01,0
2019-03-01,1401066.65,1401066.65,,,0,0,0,0,0,0,2019-08-01,HSBC,GFT FINANCIAL LTD.,2019-08-01,0
2019-04-01,1293343.14,1293343.14,,,0,0,0,0,0,0,2019-08-01,HSBC,GFT FINANCIAL LTD.,2019-08-01,0
2019-05-01,1277774.34,1277774.34,0,0,0,0,0,0,0,0,2019-08-01,HSBC,GFT FINANCIAL LTD.,2019-08-01,0
2019-06-01,1305356.12,1305356.12,,,0,0,0,0,0,0,2019-08-01,HSBC,GFT FINANCIAL LTD.,2019-08-01,0
2019-07-01,1440058.01,1440058.01,,,0,0,0,0,0,0,2019-08-01,HSBC,GFT FINANCIAL LTD.,2019-08-01,0
2019-08-01,1212872.98,1205604.99,,,0,0,0,0,0,0,2019-08-01,HSBC,GFT FINANCIAL LTD.,2019-08-01,0
2019-01-01,1405303.59,1405303.59,,,0,0,0,0,0,0,2019-09-01,HSBC,GFT FINANCIAL LTD.,2019-09-01,0
2019-02-01,1310236.88,1310236.88,,,0,0,0,0,0,0,2019-09-01,HSBC,GFT FINANCIAL LTD.,2019-09-01,0
2019-03-01,1401066.65,1401066.65,,,0,0,0,0,0,0,2019-09-01,HSBC,GFT FINANCIAL LTD.,2019-09-01,0
2019-04-01,1293343.14,1293343.14,,,0,0,0,0,0,0,2019-09-01,HSBC,GFT FINANCIAL LTD.,2019-09-01,0
2019-05-01,1277774.34,1277774.34,0,0,0,0,0,0,0,0,2019-09-01,HSBC,GFT FINANCIAL LTD.,2019-09-01,0
2019-06-01,1305356.12,1305356.12,,,0,0,0,0,0,0,2019-09-01,HSBC,GFT FINANCIAL LTD.,2019-09-01,0
2019-07-01,1440058.01,1440058.01,,,0,0,0,0,0,0,2019-09-01,HSBC,GFT FINANCIAL LTD.,2019-09-01,0
2019-08-01,1212872.98,1212872.98,,,0,0,0,0,0,0,2019-09-01,HSBC,GFT FINANCIAL LTD.,2019-09-01,0
2019-09-01,1291997.97,1291997.97,,,0,0,0,0,0,0,2019-09-01,HSBC,GFT FINANCIAL LTD.,2019-09-01,0
2019-01-01,1405303.59,1405303.59,,,0,0,0,0,0,0,2019-10-01,HSBC,GFT FINANCIAL LTD.,2019-10-01,0
2019-02-01,1310236.88,1310236.88,,,0,0,0,0,0,0,2019-10-01,HSBC,GFT FINANCIAL LTD.,2019-10-01,0
2019-03-01,1401066.65,1401066.65,,,0,0,0,0,0,0,2019-10-01,HSBC,GFT FINANCIAL LTD.,2019-10-01,0
2019-04-01,1293343.14,1293343.14,,,0,0,0,0,0,0,2019-10-01,HSBC,GFT FINANCIAL LTD.,2019-10-01,0
2019-05-01,1277774.34,1277774.34,0,0,0,0,0,0,0,0,2019-10-01,HSBC,GFT FINANCIAL LTD.,2019-10-01,0
2019-06-01,1305356.12,1305356.12,,,0,0,0,0,0,0,2019-10-01,HSBC,GFT FINANCIAL LTD.,2019-10-01,0
