kimble_id,resource_bu,2019-01-01,2019-02-01,2019-03-01,2019-04-01,2019-05-01,2019-06-01,2019-07-01,2019-08-01,2019-09-01,2019-10-01,2019-11-01,2019-12-01,month_end_title,client_unit,legal_entity,month_end_helper,adjustments,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01,2020-07-01,2020-08-01,2020-09-01,2020-10-01,2020-11-01,2020-12-01
KE006297-001,PSU PL,,,,,,347.6,337.15,335.7,325.12,323.8,,,2019-01-01,HSBC,GFT FINANCIAL LTD.,2019-01-01,0.0,,,,,,,,,,,,
KE006297-001,PSU UK,,,,,,850,850,850,850,,,,2019-01-01,HSBC,GFT FINANCIAL LTD.,2019-01-01,0.0,,,,,,,,,,,,
KE006300-001,PSU PL,,,,,,346.67,346.67,346.67,,,,,2019-01-01,HSBC,GFT FINANCIAL LTD.,2019-01-01,0.0,,,,,,,,,,,,
KE006456-001,PSU UK,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,2019-01-01,HSBC,GFT FINANCIAL LTD.,2019-01-01,0.0,,,,,,,,,,,,
KE006717-001,PSU UK,1289.68,1303.43,1327.28,,,,,,,,,,2019-01-01,HSBC,GFT FINANCIAL LTD.,2019-01-01,0.0,,,,,,,,,,,,
KE007738-007,PSU ES,,0,,,,,,,,,,,2019-01-01,HSBC,GFT FINANCIAL LTD.,2019-01-01,0.0,,,,,,,,,,,,
KE007738-007,PSU UK,,0,,,,,,,,,,,2019-01-01,HSBC,GFT FINANCIAL LTD.,2019-01-01,0.0,,,,,,,,,,,,
KE007738-007,PSU US,,0,,,,,,,,,,,2019-01-01,HSBC,GFT FINANCIAL LTD.,2019-01-01,0.0,,,,,,,,,,,,
KE007738-008,PSU UK,,0,,,,,,,,,,,2019-01-01,HSBC,GFT FINANCIAL LTD.,2019-01-01,0.0,,,,,,,,,,,,
KE007738-010,PSU PL,,0,0,0,0,0,0,0,0,0,,,2019-01-01,HSBC,GFT FINANCIAL LTD.,2019-01-01,0.0,,,,,,,,,,,,
KE008786-001,PSU PL,#Error!,,,,,,,,,,,,2019-01-01,HSBC,GFT FINANCIAL LTD.,2019-01-01,0.0,,,,,,,,,,,,
KE008919-001,PSU PL,356.84,,,,,,,,,,,,2019-01-01,HSBC,GFT FINANCIAL LTD.,2019-01-01,0.0,,,,,,,,,,,,
KE009174-001,PSU PL,,,0,0,0,0,,,,,,,2019-01-01,HSBC,GFT FINANCIAL LTD.,2019-01-01,0.0,,,,,,,,,,,,
KE009199-001,PSU UK,,,,,,,1175,1175,1175,1175,1175,1175,2019-01-01,HSBC,GFT FINANCIAL LTD.,2019-01-01,0.0,,,,,,,,,,,,
KE009199-011,PSU PL,,,,,,,386.5,386.5,386.5,386.5,386.5,386.5,2019-01-01,HSBC,GFT FINANCIAL LTD.,2019-01-01,0.0,,,,,,,,,,,,
KE009673-001,PSU ES,,,,1500,1500,1500,1500,1500,1500,,,,2019-01-01,HSBC,GFT FINANCIAL LTD.,2019-01-01,0.0,,,,,,,,,,,,
KE009673-001,PSU UK,,,,1500,1500,1500,1500,1500,1500,,,,2019-01-01,HSBC,GFT FINANCIAL LTD.,2019-01-01,0.0,,,,,,,,,,,,
KE009720-001,PSU UK,#Error!,,,,,,,,,,,,2019-01-01,HSBC,GFT FINANCIAL LTD.,2019-01-01,0.0,,,,,,,,,,,,
